ENSG00000140718.17 2.97879907502	TCGA-LUSC TCGA-18-3411-01A
ENSG00000140718.17 1.42283519127	TCGA-COAD TCGA-NH-A50U-01A
ENSG00000140718.17 2.91368696175	TCGA-BLCA TCGA-BT-A20V-01A
ENSG00000140718.17 3.43902941178	TCGA-READ TCGA-AG-3731-01A
ENSG00000140718.17 8.18633047412	TARGET-NBL TARGET-30-PATYIL-02A
ENSG00000140718.17 2.79507978534	TCGA-OV TCGA-23-1120-01A
ENSG00000140718.17 1.64804503285	TCGA-TGCT TCGA-YU-AA4L-01A
ENSG00000140718.17 2.7162052859	TCGA-UCEC TCGA-D1-A17T-01A
ENSG00000140718.17 3.50326221596	TCGA-PAAD TCGA-F2-A8YN-01A
ENSG00000140718.17 8.9383285749	TCGA-KIRC TCGA-B0-5690-01A
ENSG00000140718.17 5.41242566416	TCGA-LUSC TCGA-90-7767-11A
ENSG00000140718.17 2.65838103655	TCGA-KIRP TCGA-IZ-A6M8-01A
ENSG00000140718.17 1.92773305405	TCGA-BLCA TCGA-GV-A3JV-01A
ENSG00000140718.17 9.24363816435	TCGA-LUSC TCGA-56-6545-01A
ENSG00000140718.17 20.5604022837	TCGA-KIRC TCGA-CJ-4885-01A
ENSG00000140718.17 3.79765642575	TCGA-SKCM TCGA-D3-A3BZ-06A
ENSG00000140718.17 2.65946830165	TCGA-LUSC TCGA-39-5024-01A
ENSG00000140718.17 3.27490101506	TCGA-LUSC TCGA-77-A5G3-01A
ENSG00000140718.17 4.662234208	TCGA-PCPG TCGA-QR-A6GR-01A
ENSG00000140718.17 3.31528055913	TCGA-KIRC TCGA-B0-5085-01A
ENSG00000140718.17 7.20720146068	TCGA-PCPG TCGA-S7-A7WQ-01A
ENSG00000140718.17 5.92758022074	TCGA-UCS TCGA-NA-A4QV-01A
ENSG00000140718.17 2.87426293986	TCGA-SARC TCGA-JV-A75J-01A
ENSG00000140718.17 2.56754141259	TCGA-LUSC TCGA-22-1012-01A
ENSG00000140718.17 1.87675796658	TCGA-LIHC TCGA-DD-A4ND-01A
ENSG00000140718.17 2.68393164313	TCGA-PRAD TCGA-HI-7169-01A
ENSG00000140718.17 1.8291650626	TCGA-READ TCGA-F5-6861-01A
ENSG00000140718.17 1.16466907716	TCGA-PRAD TCGA-FC-A6HD-01A
ENSG00000140718.17 2.63023424116	TCGA-TGCT TCGA-YU-A90Q-01A
ENSG00000140718.17 1.59553100367	TCGA-HNSC TCGA-MZ-A7D7-01A
ENSG00000140718.17 3.69297221437	TCGA-THCA TCGA-EM-A2CN-01A
ENSG00000140718.17 4.30571002506	TCGA-KIRC TCGA-BP-5185-01A
ENSG00000140718.17 2.14958503133	TCGA-UCEC TCGA-D1-A1O5-01A
ENSG00000140718.17 3.42910779641	TCGA-SARC TCGA-IF-A4AJ-01A
ENSG00000140718.17 3.61713117189	TCGA-PRAD TCGA-CH-5769-01A
ENSG00000140718.17 1.9181548542	TCGA-CESC TCGA-EK-A2IP-01A
ENSG00000140718.17 2.75355276754	TCGA-COAD TCGA-A6-6652-01A
ENSG00000140718.17 3.2646109822	TCGA-LUSC TCGA-56-A4BY-01A
ENSG00000140718.17 2.8006851009	TCGA-UCEC TCGA-B5-A3FH-01A
ENSG00000140718.17 4.47427635515	TARGET-WT TARGET-50-PAKPDF-01A
ENSG00000140718.17 6.13049507094	TCGA-KIRP TCGA-GL-A59T-01A
ENSG00000140718.17 5.29867845406	TCGA-CESC TCGA-C5-A8YT-01A
ENSG00000140718.17 16.2253003181	TCGA-KIRC TCGA-CW-5584-01A
ENSG00000140718.17 2.7679436921	TCGA-STAD TCGA-VQ-A8PE-01A
ENSG00000140718.17 2.9490871133	TCGA-THCA TCGA-FE-A23A-01A
ENSG00000140718.17 3.35577552814	TCGA-OV TCGA-25-1630-01A
ENSG00000140718.17 3.41951883118	TCGA-BLCA TCGA-BT-A2LB-01A
ENSG00000140718.17 1.39079907055	TCGA-UCEC TCGA-AP-A0LL-01A
ENSG00000140718.17 5.25198745096	TCGA-THCA TCGA-BJ-A191-01A
ENSG00000140718.17 6.04099537229	TCGA-TGCT TCGA-2G-AAG6-01A
ENSG00000140718.17 5.53221100635	TCGA-PRAD TCGA-EJ-7330-11A
ENSG00000140718.17 3.91888657416	TCGA-ACC TCGA-OR-A5JX-01A
ENSG00000140718.17 2.5240410328	TCGA-CESC TCGA-EK-A2RL-01A
ENSG00000140718.17 2.7048799265	TCGA-READ TCGA-EI-6511-01A
ENSG00000140718.17 3.35880005296	TCGA-HNSC TCGA-QK-AA3K-01A
ENSG00000140718.17 2.22474750361	TCGA-ESCA TCGA-L5-A4OI-01A
ENSG00000140718.17 2.88103194858	TCGA-PAAD TCGA-Q3-A5QY-01A
ENSG00000140718.17 2.89359802201	TCGA-HNSC TCGA-QK-A64Z-01A
ENSG00000140718.17 1.61758978049	TCGA-OV TCGA-13-1403-01A
ENSG00000140718.17 1.48139663131	TCGA-OV TCGA-61-1907-01A
ENSG00000140718.17 3.08085105876	TCGA-LUAD TCGA-50-6597-01A
ENSG00000140718.17 3.55571166134	TCGA-LUAD TCGA-55-6968-11A
ENSG00000140718.17 2.70604675285	TCGA-BLCA TCGA-4Z-AA7N-01A
ENSG00000140718.17 2.02962451726	TCGA-LUAD TCGA-4B-A93V-01A
ENSG00000140718.17 1.48434521578	TCGA-BLCA TCGA-XF-AAML-01A
ENSG00000140718.17 2.43622147768	TCGA-STAD TCGA-CD-8525-01A
ENSG00000140718.17 7.5810608592	TCGA-KIRC TCGA-B0-4847-01A
ENSG00000140718.17 9.57924574484	TCGA-KIRC TCGA-B0-5081-01A
ENSG00000140718.17 2.06979984714	TCGA-STAD TCGA-D7-A6F0-01A
ENSG00000140718.17 3.47409339187	TCGA-UCEC TCGA-AX-A063-01A
ENSG00000140718.17 5.535756519	TCGA-THCA TCGA-EL-A3TA-11A
ENSG00000140718.17 1.39880681758	TCGA-TGCT TCGA-2G-AAKL-01A
ENSG00000140718.17 12.3583401545	TARGET-NBL TARGET-30-PASNZU-01A
ENSG00000140718.17 4.96086922566	TCGA-PRAD TCGA-G9-6356-01A
ENSG00000140718.17 7.655318733	TCGA-KIRP TCGA-HE-7128-01A
ENSG00000140718.17 4.40810166731	TCGA-THCA TCGA-BJ-A0ZJ-01A
ENSG00000140718.17 3.33856759367	TCGA-UCEC TCGA-EO-A22U-01A
ENSG00000140718.17 2.46219978754	TCGA-HNSC TCGA-CQ-A4CD-01A
ENSG00000140718.17 2.96690938324	TCGA-LUSC TCGA-66-2759-01A
ENSG00000140718.17 2.2474066835	TCGA-CESC TCGA-C5-A8YQ-01A
ENSG00000140718.17 5.03930603065	TCGA-SARC TCGA-DX-A6BH-01A
ENSG00000140718.17 1.65064427963	TCGA-UCEC TCGA-D1-A3DG-01A
ENSG00000140718.17 1.97203097266	TCGA-UCEC TCGA-BG-A0VT-01A
ENSG00000140718.17 1.89327431757	TCGA-CESC TCGA-EA-A44S-01A
ENSG00000140718.17 4.01104335543	TCGA-UCEC TCGA-AX-A1CE-01A
ENSG00000140718.17 1.78027121692	TCGA-BLCA TCGA-FD-A62O-01A
ENSG00000140718.17 2.63194874935	TCGA-THCA TCGA-FK-A4UB-01A
ENSG00000140718.17 2.77909520185	TCGA-LUSC TCGA-18-4083-01A
ENSG00000140718.17 1.94543583466	TCGA-LIHC TCGA-UB-AA0U-01A
ENSG00000140718.17 3.7430073335	TCGA-PRAD TCGA-CH-5768-01A
ENSG00000140718.17 4.7222531166	TCGA-SKCM TCGA-D3-A3CF-06A
ENSG00000140718.17 3.44658032713	TCGA-LUSC TCGA-60-2713-01A
ENSG00000140718.17 2.87821657162	TCGA-HNSC TCGA-D6-A6EP-01A
ENSG00000140718.17 1.51159056088	TCGA-CHOL TCGA-W5-AA2X-11A
ENSG00000140718.17 4.74646648018	TCGA-THYM TCGA-XU-A92Q-01A
ENSG00000140718.17 1.9481915508	TCGA-LUAD TCGA-62-A46P-01A
ENSG00000140718.17 6.32785979591	TCGA-KIRC TCGA-CZ-5469-11A
ENSG00000140718.17 3.54185220202	TCGA-LUAD TCGA-44-7672-01A
ENSG00000140718.17 4.93034817551	TCGA-THCA TCGA-BJ-A0ZF-01A
ENSG00000140718.17 2.65826918924	TCGA-READ TCGA-AF-2691-01A
ENSG00000140718.17 2.55089226409	TCGA-LUAD TCGA-99-8028-01A
ENSG00000140718.17 1.42359915813	TCGA-CHOL TCGA-W5-AA2Q-11A
ENSG00000140718.17 2.94007148681	TCGA-UCS TCGA-N8-A4PP-01A
ENSG00000140718.17 4.43672812395	TCGA-SKCM TCGA-D3-A2JP-06A
ENSG00000140718.17 2.78227880171	TCGA-COAD TCGA-AA-A01C-01A
ENSG00000140718.17 5.25179741608	TCGA-SKCM TCGA-XV-AB01-06A
ENSG00000140718.17 5.48230447797	TCGA-SKCM TCGA-EE-A29S-06A
ENSG00000140718.17 8.41180655021	TCGA-PCPG TCGA-WB-A81E-01A
ENSG00000140718.17 3.86686279518	TCGA-STAD TCGA-D7-6525-01A
ENSG00000140718.17 4.15802727584	TCGA-HNSC TCGA-CQ-6227-01A
ENSG00000140718.17 1.16743306598	TCGA-CESC TCGA-EA-A3Y4-01A
ENSG00000140718.17 2.44210433104	TCGA-HNSC TCGA-CV-6940-01A
ENSG00000140718.17 3.41411580469	TCGA-OV TCGA-13-1506-01A
ENSG00000140718.17 2.41146689165	TCGA-COAD TCGA-AA-A01Q-01A
ENSG00000140718.17 2.02866747584	TCGA-COAD TCGA-DM-A28G-01A
ENSG00000140718.17 8.36224443244	TCGA-KIRC TCGA-B0-4839-01A
ENSG00000140718.17 2.15651758566	TCGA-LUSC TCGA-79-5596-01A
ENSG00000140718.17 2.95492285572	TCGA-PRAD TCGA-Y6-A8TL-01A
ENSG00000140718.17 1.47208834655	TCGA-HNSC TCGA-UF-A71E-01A
ENSG00000140718.17 3.69629021144	TCGA-THCA TCGA-EL-A3T8-01A
ENSG00000140718.17 5.3011172106	TCGA-THYM TCGA-XM-A8RF-01A
ENSG00000140718.17 3.47154278813	TCGA-OV TCGA-36-1576-01A
ENSG00000140718.17 1.60731154751	TCGA-CESC TCGA-MY-A5BF-01A
ENSG00000140718.17 6.35423201877	TCGA-PRAD TCGA-HC-7212-01A
ENSG00000140718.17 1.92803177883	TCGA-HNSC TCGA-BA-A6DD-01A
